500	1.1956
508	1.1946
516	1.1937
524	1.1928
532	1.1918
540	1.1909
548	1.1899
556	1.1890
564	1.1880
572	1.1871
580	1.1862
588	1.1852
596	1.1843
604	1.1833
612	1.1824
620	1.1815
628	1.1805
636	1.1796
644	1.1787
652	1.1777
660	1.1768
668	1.1759
676	1.1749
684	1.1740
692	1.1731
700	1.1721
708	1.1712
716	1.1703
724	1.1693
732	1.1684
740	1.1675
748	1.1666
756	1.1656
764	1.1647
772	1.1638
780	1.1628
788	1.1619
796	1.1610
804	1.1601
812	1.1592
820	1.1582
828	1.1573
836	1.1564
844	1.1555
852	1.1545
860	1.1536
868	1.1527
876	1.1518
884	1.1509
892	1.1499
900	1.1490
908	1.1481
916	1.1472
924	1.1463
932	1.1454
940	1.1444
948	1.1435
956	1.1426
964	1.1417
972	1.1408
980	1.1399
988	1.1390
996	1.1381
1004	1.1372
1012	1.1362
1020	1.1353
1028	1.1344
1036	1.1335
1044	1.1326
1052	1.1317
1060	1.1308
1068	1.1299
1076	1.1290
1084	1.1281
1092	1.1272
1100	1.1263
1108	1.1254
1116	1.1245
1124	1.1236
1132	1.1227
1140	1.1218
1148	1.1209
1156	1.1200
1164	1.1191
1172	1.1182
1180	1.1173
1188	1.1164
1196	1.1155
1204	1.1146
1212	1.1137
1220	1.1128
1228	1.1119
1236	1.1110
1244	1.1101
1252	1.1092
1260	1.1083
1268	1.1074
1276	1.1065
1284	1.1056
1292	1.1048
1300	1.1039
1308	1.1030
1316	1.1021
1324	1.1012
1332	1.1003
1340	1.0994
1348	1.0985
1356	1.0977
1364	1.0968
1372	1.0959
1380	1.0950
1388	1.0941
1396	1.0932
1404	1.0923
1412	1.0915
1420	1.0906
1428	1.0897
1436	1.0888
1444	1.0879
1452	1.0871
1460	1.0862
1468	1.0853
1476	1.0844
1484	1.0835
1492	1.0827
1500	1.0818
1508	1.0809
1516	1.0800
1524	1.0792
1532	1.0783
1540	1.0774
1548	1.0766
1556	1.0757
1564	1.0748
1572	1.0739
1580	1.0731
1588	1.0722
1596	1.0713
1604	1.0705
1612	1.0696
1620	1.0687
1628	1.0679
1636	1.0670
1644	1.0661
1652	1.0653
1660	1.0644
1668	1.0635
1676	1.0627
1684	1.0618
1692	1.0609
1700	1.0601
1708	1.0592
1716	1.0583
1724	1.0575
1732	1.0566
1740	1.0558
1748	1.0549
1756	1.0540
1764	1.0532
1772	1.0523
1780	1.0515
1788	1.0506
1796	1.0498
1804	1.0489
1812	1.0480
1820	1.0472
1828	1.0463
1836	1.0455
1844	1.0446
1852	1.0438
1860	1.0429
1868	1.0421
1876	1.0412
1884	1.0404
1892	1.0395
1900	1.0387
1908	1.0378
1916	1.0370
1924	1.0361
1932	1.0353
1940	1.0344
1948	1.0336
1956	1.0327
1964	1.0319
1972	1.0311
1980	1.0302
1988	1.0294
1996	1.0285
2004	1.0277
2012	1.0268
2020	1.0260
2028	1.0252
2036	1.0243
2044	1.0235
2052	1.0226
2060	1.0218
2068	1.0210
2076	1.0201
2084	1.0193
2092	1.0185
2100	1.0176
2108	1.0168
2116	1.0159
2124	1.0151
2132	1.0143
2140	1.0134
2148	1.0126
2156	1.0118
2164	1.0109
2172	1.0101
2180	1.0093
2188	1.0085
2196	1.0076
2204	1.0068
2212	1.0060
2220	1.0051
2228	1.0043
2236	1.0035
2244	1.0027
2252	1.0018
2260	1.0010
2268	1.0002
2276	0.9994
2284	0.9985
2292	0.9977
2300	0.9969
2308	0.9961
2316	0.9952
2324	0.9944
2332	0.9936
2340	0.9928
2348	0.9920
2356	0.9911
2364	0.9903
2372	0.9895
2380	0.9887
2388	0.9879
2396	0.9871
2404	0.9862
2412	0.9854
2420	0.9846
2428	0.9838
2436	0.9830
2444	0.9822
2452	0.9814
2460	0.9805
2468	0.9797
2476	0.9789
2484	0.9781
2492	0.9773
2500	0.9765
2508	0.9757
2516	0.9749
2524	0.9741
2532	0.9732
2540	0.9724
2548	0.9716
2556	0.9708
2564	0.9700
2572	0.9692
2580	0.9684
2588	0.9676
2596	0.9668
2604	0.9660
2612	0.9652
2620	0.9644
2628	0.9636
2636	0.9628
2644	0.9620
2652	0.9612
2660	0.9604
2668	0.9596
2676	0.9588
2684	0.9580
2692	0.9572
2700	0.9564
2708	0.9556
2716	0.9548
2724	0.9540
2732	0.9532
2740	0.9524
2748	0.9516
2756	0.9508
2764	0.9500
2772	0.9492
2780	0.9485
2788	0.9477
2796	0.9469
2804	0.9461
2812	0.9453
2820	0.9445
2828	0.9437
2836	0.9429
2844	0.9421
2852	0.9413
2860	0.9406
2868	0.9398
2876	0.9390
2884	0.9382
2892	0.9374
2900	0.9366
2908	0.9358
2916	0.9351
2924	0.9343
2932	0.9335
2940	0.9327
2948	0.9319
2956	0.9312
2964	0.9304
2972	0.9296
2980	0.9288
2988	0.9280
2996	0.9273
3004	0.9265
3012	0.9257
3020	0.9249
3028	0.9241
3036	0.9234
3044	0.9226
3052	0.9218
3060	0.9210
3068	0.9203
3076	0.9195
3084	0.9187
3092	0.9179
3100	0.9172
3108	0.9164
3116	0.9156
3124	0.9149
3132	0.9141
3140	0.9133
3148	0.9126
3156	0.9118
3164	0.9110
3172	0.9103
3180	0.9095
3188	0.9087
3196	0.9080
3204	0.9072
3212	0.9064
3220	0.9057
3228	0.9049
3236	0.9041
3244	0.9034
3252	0.9026
3260	0.9018
3268	0.9011
3276	0.9003
3284	0.8996
3292	0.8988
3300	0.8980
3308	0.8973
3316	0.8965
3324	0.8958
3332	0.8950
3340	0.8942
3348	0.8935
