2500	182	
2651	203	
2767	203	
2882	203	
2989	199	
3101	203	
3213	204	
3330	205	
3441	208	
3570	210	
3667	210	
3796	215	
3915	214	
4033	215	
4149	212	
4273	213	
4388	215	
4509	217	
4634	218	
4752	218	
4876	219	
4997	221	
5120	221	
5245	222	
5356	220	
5501	221	
5609	224	
5745	220	
5839	223	
5996	221	
6112	229	
6218	241	
6378	254	
6513	259	
6665	265	
6811	271	
6966	279	
7112	279	
7273	279	
7432	282	
7589	285	
7747	289	
7915	289	
8055	289	
8232	289	
8393	286	
8533	290	
8705	293	
8872	298	
9040	308	
9210	312	
9389	313	
9569	322	
9744	329	
9926	339	
10124	347	
10308	351	
10526	355	
10706	361	
10912	358	
11104	359	
11314	361	
11513	367	
11712	371	
11928	373	
12137	375	
12353	375	
12547	374	
12756	372	
12958	375	
13179	386	
13412	394	
13609	403	
13838	415	
14077	427	
14328	440	
14581	447	
14811	457	
15096	470	
15324	485	
15881	500	
15991	526	
16188	548	
16496	568	
16853	592	
17131	611	
17527	627	
17852	647	
18117	665	
18587	690	
19026	726	
19406	762	
19840	803	
20247	822	
20752	850	
21268	917	
21729	957	
22307	993	
22857	1056	
23413	1104	
24112	1196	
24746	1261	
25454	1307	
26250	1314	
26883	1334	
27710	1355	
28448	1340	
29183	1317	
29884	1301	
30642	1285	
31326	1260	
32002	1212	
32676	1174	
33340	1126	
33661	1107	
33919	1076	
34487	1013	
35306	924	
35797	866	
36274	808	
36715	749	
37175	670	
37471	612	
37842	530	
38233	430	
38439	364	
38827	187	
38948	67	
39000	0	
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
